      #Energy        TDOS-UP        TDOS-DOWN
     -13.31520      -0.00000       0.00000
     -13.20220      -0.00000       0.00000
     -13.08920      -0.00076       0.00076
     -12.97620       0.03507      -0.03507
     -12.86320       0.05725      -0.05725
     -12.74920       0.00323      -0.00323
     -12.63620      -0.00003       0.00003
     -12.52320      -0.00000       0.00000
     -12.41020       0.00000       0.00000
     -12.29720       0.00000       0.00000
     -12.18420       0.00000       0.00000
     -12.07020       0.00000       0.00000
     -11.95720       0.00000       0.00000
     -11.84420       0.00000       0.00000
     -11.73120       0.00000       0.00000
     -11.61820       0.00000       0.00000
     -11.50520       0.00000       0.00000
     -11.39120      -0.00000       0.00000
     -11.27820      -0.00000       0.00000
     -11.16520      -0.00000       0.00000
     -11.05220      -0.00003       0.00003
     -10.93920       0.00449      -0.00449
     -10.82620       0.07850      -0.07850
     -10.71220       0.01194      -0.01194
     -10.59920      -0.00013       0.00013
     -10.48620      -0.00000       0.00000
     -10.37320       0.00000       0.00000
     -10.26020       0.00000       0.00000
     -10.14720      -0.00000       0.00000
     -10.03320      -0.00000       0.00000
      -9.92020      -0.00000       0.00000
      -9.80720      -0.00001       0.00001
      -9.69420       0.00125      -0.00125
      -9.58120       0.01656      -0.01656
      -9.46820       0.02904      -0.02904
      -9.35420       0.04077      -0.04077
      -9.24120       0.00729      -0.00729
      -9.12820      -0.00013       0.00013
      -9.01520      -0.00000       0.00000
      -8.90220       0.00000       0.00000
      -8.78920       0.00000       0.00000
      -8.67520       0.00000       0.00000
      -8.56220       0.00000       0.00000
      -8.44920       0.00000       0.00000
      -8.33620       0.00000       0.00000
      -8.22320       0.00000       0.00000
      -8.11020       0.00000       0.00000
      -7.99620       0.00000       0.00000
      -7.88320       0.00000       0.00000
      -7.77020       0.00000       0.00000
      -7.65720       0.00000       0.00000
      -7.54420       0.00000       0.00000
      -7.43120       0.00000       0.00000
      -7.31720       0.00000       0.00000
      -7.20420       0.00000       0.00000
      -7.09120       0.00000       0.00000
      -6.97820       0.00000       0.00000
      -6.86520       0.00000       0.00000
      -6.75220      -0.00000       0.00000
      -6.63820      -0.00000       0.00000
      -6.52520      -0.00000       0.00000
      -6.41220      -0.00000       0.00000
      -6.29920       0.00036      -0.00036
      -6.18620       0.00970      -0.00970
      -6.07320       0.02787      -0.02787
      -5.95920       0.02094      -0.02094
      -5.84620       0.03049      -0.03049
      -5.73320       0.00532      -0.00532
      -5.62020       0.00378      -0.00378
      -5.50720       0.01514      -0.01514
      -5.39420       0.01724      -0.01724
      -5.28020       0.01144      -0.01144
      -5.16720       0.02917      -0.02917
      -5.05420       0.02003      -0.02003
      -4.94120       0.02949      -0.02949
      -4.82820       0.02509      -0.02509
      -4.71520       0.02103      -0.02103
      -4.60120       0.01323      -0.01323
      -4.48820       0.00848      -0.00848
      -4.37520       0.01443      -0.01443
      -4.26220       0.02251      -0.02251
      -4.14920       0.00600      -0.00600
      -4.03620       0.00031      -0.00031
      -3.92220       0.03147      -0.03147
      -3.80920       0.01295      -0.01295
      -3.69620       0.00521      -0.00521
      -3.58320       0.01594      -0.01594
      -3.47020       0.02449      -0.02449
      -3.35720       0.01047      -0.01047
      -3.24320       0.02525      -0.02525
      -3.13020       0.04768      -0.04768
      -3.01720       0.04183      -0.04183
      -2.90420       0.02007      -0.02007
      -2.79120       0.00116      -0.00116
      -2.67820      -0.00001       0.00001
      -2.56420      -0.00000       0.00000
      -2.45120      -0.00026       0.00026
      -2.33820       0.00792      -0.00792
      -2.22520       0.01291      -0.01291
      -2.11220       0.01059      -0.01059
      -1.99920       0.01854      -0.01854
      -1.88520       0.03449      -0.03449
      -1.77220       0.02403      -0.02403
      -1.65920       0.02785      -0.02785
      -1.54620       0.06812      -0.06811
      -1.43320       0.03019      -0.03019
      -1.32020       0.01851      -0.01851
      -1.20620       0.02176      -0.02176
      -1.09320       0.00808      -0.00808
      -0.98020       0.00280      -0.00280
      -0.86720       0.01248      -0.01248
      -0.75420       0.01202      -0.01202
      -0.64120       0.02116      -0.02116
      -0.52720       0.03218      -0.03218
      -0.41420       0.02706      -0.02706
      -0.30120       0.03272      -0.03272
      -0.18820       0.02661      -0.02661
      -0.07520       0.01976      -0.01976
       0.03780       0.00439      -0.00439
       0.15180      -0.00011       0.00011
       0.26480      -0.00000       0.00000
       0.37780       0.00000       0.00000
       0.49080       0.00000       0.00000
       0.60380       0.00000       0.00000
       0.71680       0.00000       0.00000
       0.83080       0.00000       0.00000
       0.94380       0.00000       0.00000
       1.05680       0.00000       0.00000
       1.16980       0.00000       0.00000
       1.28280      -0.00000       0.00000
       1.39680      -0.00000       0.00000
       1.50980      -0.00000       0.00000
       1.62280      -0.00000       0.00000
       1.73580      -0.00024       0.00024
       1.84880       0.02038      -0.02038
       1.96180       0.00895      -0.00895
       2.07580       0.01966      -0.01966
       2.18880       0.04313      -0.04313
       2.30180       0.04110      -0.04110
       2.41480       0.00716      -0.00716
       2.52780       0.01120      -0.01120
       2.64080       0.01446      -0.01446
       2.75480       0.02100      -0.02100
       2.86780       0.00420      -0.00420
       2.98080       0.01072      -0.01072
       3.09380       0.01087      -0.01087
       3.20680       0.05401      -0.05401
       3.31980       0.00820      -0.00820
       3.43380       0.01295      -0.01295
       3.54680       0.03234      -0.03234
       3.65980       0.02844      -0.02844
       3.77280       0.02337      -0.02337
       3.88580       0.00528      -0.00528
       3.99880       0.00446      -0.00446
       4.11280       0.00339      -0.00339
       4.22580      -0.00020       0.00020
       4.33880       0.00760      -0.00760
       4.45180       0.00431      -0.00431
       4.56480       0.00373      -0.00373
       4.67780       0.00931      -0.00931
       4.79180       0.01043      -0.01043
       4.90480       0.01102      -0.01102
       5.01780       0.01391      -0.01391
       5.13080       0.02207      -0.02207
       5.24380       0.01439      -0.01439
       5.35680       0.00770      -0.00770
       5.47080       0.01128      -0.01128
       5.58380       0.01031      -0.01031
       5.69680       0.02449      -0.02449
       5.80980       0.02619      -0.02619
       5.92280       0.01556      -0.01556
       6.03580       0.02730      -0.02730
       6.14980       0.02320      -0.02320
       6.26280       0.02316      -0.02316
       6.37580       0.03660      -0.03660
       6.48880       0.02869      -0.02869
       6.60180       0.02988      -0.02988
       6.71480       0.02816      -0.02816
       6.82880       0.04014      -0.04014
       6.94180       0.00273      -0.00273
       7.05480       0.02324      -0.02324
       7.16780       0.02990      -0.02990
       7.28080       0.03731      -0.03731
       7.39380       0.02854      -0.02855
       7.50780       0.00776      -0.00774
       7.62080       0.00397      -0.00400
       7.73380      -0.00012       0.00012
       7.84680      -0.00000       0.00000
       7.95980       0.00000       0.00000
       8.07280       0.00000       0.00000
       8.18680       0.00000       0.00000
       8.29980       0.00000       0.00000
       8.41280       0.00000       0.00000
       8.52580       0.00000       0.00000
       8.63880       0.00000       0.00000
       8.75180       0.00000       0.00000
       8.86580       0.00000       0.00000
       8.97880       0.00000       0.00000
       9.09180       0.00000       0.00000
