      #Energy        TDOS-UP        TDOS-DOWN
     -16.66877       0.00000       0.00000
     -16.55577       0.00000       0.00000
     -16.44177       0.00000       0.00000
     -16.32777       0.00000       0.00000
     -16.21377       0.00000       0.00000
     -16.09977      -0.00000       0.00000
     -15.98577      -0.00000       0.00000
     -15.87177      -0.00000       0.00000
     -15.75777      -0.00014       0.00014
     -15.64377       0.01215      -0.01215
     -15.52977       0.06092      -0.06092
     -15.41577       0.04209      -0.04209
     -15.30177      -0.00046       0.00046
     -15.18777      -0.00000       0.00000
     -15.07477       0.00000       0.00000
     -14.96077       0.00000       0.00000
     -14.84677       0.00000       0.00000
     -14.73277       0.00000       0.00000
     -14.61877       0.00000       0.00000
     -14.50477       0.00000       0.00000
     -14.39077       0.00000       0.00000
     -14.27677       0.00000       0.00000
     -14.16277       0.00000       0.00000
     -14.04877      -0.00000       0.00000
     -13.93477      -0.00000       0.00000
     -13.82077      -0.00000       0.00000
     -13.70777      -0.00013       0.00013
     -13.59377       0.01519      -0.01519
     -13.47977       0.08197      -0.08197
     -13.36577       0.01762      -0.01762
     -13.25177      -0.00009       0.00009
     -13.13777      -0.00000       0.00000
     -13.02377       0.00000       0.00000
     -12.90977       0.00000       0.00000
     -12.79577       0.00000       0.00000
     -12.68177       0.00000       0.00000
     -12.56777       0.00000       0.00000
     -12.45377       0.00000       0.00000
     -12.34077       0.00000       0.00000
     -12.22677       0.00000       0.00000
     -12.11277       0.00000       0.00000
     -11.99877       0.00000       0.00000
     -11.88477       0.00000       0.00000
     -11.77077      -0.00000       0.00000
     -11.65677      -0.00000       0.00000
     -11.54277      -0.00000       0.00000
     -11.42877      -0.00031       0.00031
     -11.31477       0.01517      -0.01517
     -11.20077       0.04137      -0.04137
     -11.08677       0.05712      -0.05712
     -10.97377       0.00122      -0.00122
     -10.85977      -0.00000       0.00000
     -10.74577      -0.00000       0.00000
     -10.63177       0.00000       0.00000
     -10.51777       0.00000       0.00000
     -10.40377       0.00000       0.00000
     -10.28977       0.00000       0.00000
     -10.17577       0.00000       0.00000
     -10.06177       0.00000       0.00000
      -9.94777      -0.00000       0.00000
      -9.83377      -0.00000       0.00000
      -9.71977      -0.00000       0.00000
      -9.60677      -0.00000       0.00000
      -9.49277       0.00129      -0.00129
      -9.37877       0.02551      -0.02551
      -9.26477       0.01253      -0.01253
      -9.15077       0.06100      -0.06100
      -9.03677       0.01056      -0.01056
      -8.92277       0.00369      -0.00369
      -8.80877      -0.00001       0.00001
      -8.69477      -0.00000       0.00000
      -8.58077       0.00000       0.00000
      -8.46677       0.00000       0.00000
      -8.35277       0.00000       0.00000
      -8.23877       0.00000       0.00000
      -8.12577       0.00000       0.00000
      -8.01177       0.00000       0.00000
      -7.89777       0.00000       0.00000
      -7.78377       0.00000       0.00000
      -7.66977       0.00000       0.00000
      -7.55577       0.00000       0.00000
      -7.44177       0.00000       0.00000
      -7.32777       0.00000       0.00000
      -7.21377       0.00000       0.00000
      -7.09977       0.00000       0.00000
      -6.98577       0.00000       0.00000
      -6.87177       0.00000       0.00000
      -6.75877       0.00000       0.00000
      -6.64477       0.00000       0.00000
      -6.53077       0.00000       0.00000
      -6.41677       0.00000       0.00000
      -6.30277       0.00000       0.00000
      -6.18877       0.00000       0.00000
      -6.07477      -0.00000       0.00000
      -5.96077      -0.00000       0.00000
      -5.84677      -0.00000       0.00000
      -5.73277      -0.00031       0.00031
      -5.61877       0.01324      -0.01324
      -5.50477       0.01554      -0.01554
      -5.39177       0.01641      -0.01641
      -5.27777       0.05301      -0.05301
      -5.16377       0.01664      -0.01664
      -5.04977       0.00003      -0.00003
      -4.93577       0.00090      -0.00090
      -4.82177       0.01770      -0.01770
      -4.70777       0.02351      -0.02351
      -4.59377       0.01401      -0.01401
      -4.47977       0.05704      -0.05704
      -4.36577       0.01617      -0.01617
      -4.25177       0.00844      -0.00843
      -4.13777       0.03444      -0.03444
      -4.02477       0.01977      -0.01976
      -3.91077       0.02110      -0.02110
      -3.79677       0.01653      -0.01653
      -3.68277      -0.00047       0.00047
      -3.56877      -0.00000       0.00000
      -3.45477      -0.00000       0.00000
      -3.34077      -0.00000       0.00000
      -3.22677      -0.00000       0.00000
      -3.11277      -0.00012       0.00012
      -2.99877       0.01018      -0.01019
      -2.88477       0.03780      -0.03780
      -2.77077       0.05338      -0.05338
      -2.65777       0.04643      -0.04643
      -2.54377       0.03532      -0.03532
      -2.42977       0.03262      -0.03262
      -2.31577       0.01387      -0.01387
      -2.20177      -0.00035       0.00035
      -2.08777      -0.00000       0.00000
      -1.97377      -0.00001       0.00001
      -1.85977       0.00333      -0.00333
      -1.74577       0.05359      -0.05358
      -1.63177       0.01345      -0.01345
      -1.51777       0.04096      -0.04096
      -1.40377       0.00326      -0.00326
      -1.28977       0.00040      -0.00040
      -1.17677       0.02337      -0.02337
      -1.06277       0.01854      -0.01854
      -0.94877       0.03727      -0.03727
      -0.83477       0.00554      -0.00554
      -0.72077       0.02984      -0.02984
      -0.60677       0.01558      -0.01558
      -0.49277       0.02687      -0.02687
      -0.37877       0.06276      -0.06276
      -0.26477       0.04135      -0.04134
      -0.15077       0.03264      -0.03264
      -0.03677       0.03837      -0.03837
       0.07723       0.01121      -0.01121
       0.19023      -0.00006       0.00006
       0.30423      -0.00000       0.00000
       0.41823       0.00000       0.00000
       0.53223       0.00000       0.00000
       0.64623       0.00000       0.00000
       0.76023       0.00000       0.00000
